Фамилия|Имя|Отчество|Должность|Приказ|Год|РодНаграды
Новокрещенный|Ефим||Красноармеец 5 Амурского стр. полка|Прик.РВСР № 156|1923 г.|Орден Красного Знамени
Новоселов|Максим||Красноармеец 83 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Новоселов|Петр|Иванович|Красноармеец 233 стр. полка|Прик.РВСР № 19|1922 г.|Орден Красного Знамени
Новоселов|Семен|Николаевич|Комроты 184 полка|Прик.РВСР № 338|1920 г.|Орден Красного Знамени
Новоселов|Ф.|М.|Красноармеец 82 стр. полка|Прик.РВСР № 160|1920 г.|Орден Красного Знамени
Новосельцгв|Пван.||Начальник команды разведчиков 142 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Новосельцев|А.||Курсант курсов комсостава|Прик.РВСР № 134|1920 г.|Орден Красного Знамени
Новосельцев|Федор|Васильевич|Комвзвода 150 полка|Прик.РВСР № 338|1920 г.|Орден Красного Знамени
Новосильцев|Иван|Петрович|Военлётчик|Прик.РВСР № 478|1920 г.|Орден Красного Знамени
Новоскольский|Василий||Красноармеец заград. отряда 7 стр. дивизии|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Новосольдов|Иван|Сергеевич|Красноармеец 238 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Новохацкий|Александр||Командир эскадрона кав. полка 60 стр. дивизии|Прик.РВСР № 107|1926 г.|Орден Красного Знамени
Нога|Григорий|Данилович|Красноармеец 4 эскадрона Гонготского кавполка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Ноге|Иван||Комвзвода|Прик.РВСР № 304|1920 г.|Орден Красного Знамени
Ногтев|Александр||Начальник особого отряда 4 армии|Прик.РВСР № 225|1920 г.|Орден Красного Знамени
Ногтев|Федор||Красноармеец 154 стр. полка 6 армии|Прик.РВСР № 12|1919 г.|Орден Красного Знамени
Нодь|Янош||Командир эскадрона|Прик.РВСР № 96|1924 г.|Орден Красного Знамени
Ноженко|Федор|Тимофеевич|Комвзвода 9 кавполка|Прик.РВСР № 94|1923 г.|Орден Красного Знамени
Номаненко|Прокофий|Логвинович|Командир 1 эскадрона 33 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Норва|Иван|Григорьевич|Командир 6 роты 263 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Нормов|Иван|Петрович|Курсант 7 стр. дившколы|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Носакин|||Курсант политотдела 7 стр. дивизии|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Носик|Павел|Иванович|Красноармеец 31 стр. полка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Носко|Иван|Васильевич|Комвзвода 12 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Носков|Александр||Оруд. номер 2 легкого артдивизиона 2 Приамурской стр. дивизии|Прик.РВСР № 85|1923 г.|Орден Красного Знамени
Носков|Иван||Отделком экспедиционного отряда|Прик.РВСР № 147|1923 г.|Орден Красного Знамени
Носков|Иван||Комроты 88 полка|Прик.РВСР № 370|1920 г.|Орден Красного Знамени
Носков|Константин||Курсант 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Носков|Павел|Федорович|Комвзвода 150 стр. полка|Прик.РВСР № 82|1923 г.|Орден Красного Знамени
Носов|||Комвзвода Кал. Пехотных курсов|Прик.РВСР № 227|1920 г.|Орден Красного Знамени
Носов|Александр||Комвзвода 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Носов|Владимир|Сидорович|Н-к пулеметов Заволжского стр. полка|Прик.РВСР № 111|1922 г.|Орден Красного Знамени
Носов|Митрофан|Афанасьевич|Красноармеец 78 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Носов|Петр|Кузьмич|Комвзвода 373 стр. полка|Прик.РВСР № 272|1920 г.|Орден Красного Знамени
Носонов|Дмитрий|Алексеевич|Комроты 93 стр. полка|Прик.РВСР № 158|1920 г.|Орден Красного Знамени
Носулич|Максим|Григорьевич|Красноармеец 539 стр. полка|Прик.РВСР № 40|1922 г.|Орден Красного Знамени
Ночевной|Алексей|Никитич|Боец Царевского отряда ЧОН|Прик.РВСР № 17|1923 г.|Орден Красного Знамени
Нугманов|Захарий||Красноармеец 301 стр. полка|Прик.РВСР № 154|1922 г.|Орден Красного Знамени
Нужин|Александр|Андреевич|Командир 10 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Нужин|В.|П.|Политрук 63 кав. полка|Прик.РВСР № 775|1925 г.|Орден Красного Знамени
Нуралиев|Балт|||Прик.РВСР № 2430|1923 г.|Орден Красного Знамени
Нуржев|Садык||Красноармеец 4 стр. полка|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Нур-Мигома|||Красный партизан Дагестана|Прик.РВСР № 76|1923 г.|Орден Красного Знамени
Нырненко|Федор|Иванович|Комбриг 46 — 16 стр. дивизии|Прик.РВСР № 42|1921 г.|Орден Красного Знамени
Обертасов|||Помкомполка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Облиенков|Иван|Михайлович|Комвзвода 190 стр. полка|Прик.РВСР № 143|1922 г.|Орден Красного Знамени
Ободников|Василий|Михайлович|Комвзвод 7 легартдивизиона|Прик.РВСР № 156|1922 г.|Орден Красного Знамени
Обозных|Андрей||Красноармеец 5 Амурского стр. полка|Прик.РВСР № 156|1923 г.|Орден Красного Знамени
Оболдуев|Александр|Акимович|Комроты 94 стр. полка|Прик.РВСР № 241|1920 г.|Орден Красного Знамени
Оболенский|Дмитрий|Константинович|Наштабриг 81|Прик.РВСР № 220|1920 г.|Орден Красного Знамени
Оборонков|Сергей||Красноармеец 6 полка|Прик.РВСР № 100|1924 г.|Орден Красного Знамени
Образцов|Тимофей.||Красноармеец 19 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Обручев|Николай||Комвзвод полка особого назначения|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Обручников|Василий||Курсант 3 сводного полка|Прик.РВСР № 271|1921 г.|Орден Красного Знамени
Обухов|Александр||Казак 5 черв. каз. полка 8 кав. червоного казачества дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Обухов|Василий|Васильевич|Помощник командира полка 497 стрелкового|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Обуховский|Тихон||Комэскадрона|Прик.РВСР № 304|1920 г.|Орден Красного Знамени
Ованесов|Еруслан||Наводчик 37 кавполка|Прик.РВСР № 329|1919 г.|Орден Красного Знамени
Оверченко|Н.|Т.|Пулеметчик 31 кав. полка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Овечкин|||Красноармеец 3 артдивизиона|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Овечкин|Иван|Васильевич|Комиссар 3 бригады 6 кавдивизии|Прик.РВСР № 357|1920 г.|Орден Красного Знамени
Овечкин|Петр||Разведчик 139 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Овечко|Андрей|Федорович|Помкомвзвода 1 кавполка 20 стр. дивизии|Прик.РВСР № 157|1923 г.|Орден Красного Знамени
Оводов|Иван|Иванович|Помощник командира 22 авто-броневого отряда|Прик.РВСР № 212|1921 г.|Орден Красного Знамени
Овсеенко|Иван|Петрович|Красноармеец отдельного кавдивизиона|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Овсейчук|Федор|Иванович|Комэскадрона 82 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Овсенко|Сергей||Старший врач 83 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Овсянников|Александр|Иванович|Красноармеец 270 стр. полка|Прик.РВСР № 12|1922 г.|Орден Красного Знамени
Овсянников|Петр||Красноармеец|Прик.РВСР № 94|1923 г.|Орден Красного Знамени
Овсянников|Федор|Александрович|Красноармеец 237 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Овсянников|Яков||Красноармеец сапроты|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Овцынов|Алексей|Ильич|Начальник 2 бронечасти бронепоезда № 25|Прик.РВСР № 46|1921 г.|Орден Красного Знамени
Овчаренко|Никифор|Федорович|Командир 4 эскадрона 21 кавполка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Овчаров|Иван|Федорович|Красноармеец 3 крепостного Уральского полка отдельной крепостной Уральской бригады|Прик.РВСР № 126|1920 г.|Орден Красного Знамени
Овчинников|Александр||Помкомроты 208 стр. полка|Прик.РВСР № 68|1920 г.|Орден Красного Знамени
Овчинников|Александр|Константинович|Красноармеец 3 Забайкальского кавполка|Прик.РВСР № 156|1923 г.|Орден Красного Знамени
Овчинников|Григорий|Иванович|Начдив 21 пехотной|Прик.РВСР № 308|1919 г.|Орден Красного Знамени
Овчинников|Ефим|Федорович|Красноармеец 3 Туркестанского кавполка|Прик.РВСР № 156|1922 г.|Орден Красного Знамени
Овчинников|Иваи||Комвзвода 6 червоного казач. полка 8 кав. червон. казач. дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Овчинников|Иван||Помкомвзвод учебного полка 11 дивизии|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Овчинников|М.|А.|Красноармеец 94 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Овчинников|Михаил||Курсант 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Овчинников|Михаил|Васильевич|Посыльный канц. 2 тел.-тел. роты 27 стр. дивизии|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Овчинников|Нестор|Емельянович|Начдив 40 стрелковой|Прик.РВСР № 11|1922 г.|Орден Красного Знамени
Овчинников|Нефед||Ездовой 2 легкого артиллерийского дивизиона 2 Приамурской стр. дивизии|Прик.РВСР № 85|1923 г.|Орден Красного Знамени
Овчинников|Савва|Иванович|Вр.и.д. командира 140 стр. полка 10 стр. дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Овчинников|Семен||Красноармеец 96 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Овчинников|Сергей|Петрович|Военком 148 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Овчинников|Тимофей||Помощник начальника дивизион. школы комсостава 2 Приамурской стр. дивизии|Прик.РВСР № 156|1923 г.|Орден Красного Знамени
Овчинников|Федор|Андреевич|Красноармеец 183 полка|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
Овчинников|Федор|Васильевич|Пулеметчик 184 полка|Прик.РВСР № 334|1920 г.|Орден Красного Знамени
Овчинников|Филипп|Харламович|Комотдел. 283 стр. полка|Прик.РВСР № 154|1922 г.|Орден Красного Знамени
Огарков|Федор|Тимофеевич|Разведчик Заволжского стр. полка|Прик.РВСР № 111|1922 г.|Орден Красного Знамени
Огиенко|Константин|Семенович|Командир конартдивизиона 14 кавдивизии|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Огинт|Павел||Стрелок 5 Латышского стр. полка|Прик.РВСР № 259|1920 г.|Орден Красного Знамени
Оглоблин|Аркадий|Георгиевич|Помком 34 сводной стр. дивизии|Прик.РВСР № 154|1922 г.|Орден Красного Знамени
Оглоблин|Ефим||Курсант 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Оглоблин|Иван|Николаевич|Командир 3 отдельной легкой батареи|Прик.РВСР № 100|1924 г.|Орден Красного Знамени
Огородников|Василий|Иванович|Красноармеец 239 стр. полка|Прик.РВСР № 19|1922 г.|Орден Красного Знамени
Огородный|||Комроты Антоновского отряда|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Огурцов|Константин|Терентьевич|Комбат 238 стр. полка|Прик.РВСР № 585|1920 г.|Орден Красного Знамени
Огурцов|Константин|Терентьевич|Военкомбриг 80 — 27 Омской стр. дивизии|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Одерский|||Политработник 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Одинец|Иван||Красноармеец 88 стр. полка|Прик.РВСР № 157|1920 г.|Орден Красного Знамени
Одинцов|Сергей|Иванович|Начгруппы|Прик.РВСР № 308|1919 г.|Орден Красного Знамени
Одников|Григорий||Красноармеец 136 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Одушкин|Иван||Красноармеец 139 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Ожогин|Роман||Н-к пулькоманды 256 стр. полка|Прик.РВСР № 155|1920 г.|Орден Красного Знамени
Ожогин|Федор|Ефимович|Красноармеец 233 полка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Озарин|Николай|Филиппович|Красноармеец 9 кавполка|Прик.РВСР № 325|1921 г.|Орден Красного Знамени
Озеров|Василий||Помначпулькоманды 137 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Озеров|Гавриил|Александрович|Помощник командира 20 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Озеров|Григорий||Комроты 137 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Озеров|Кирилл|Григорьевич|Взводный командир 20 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Озеров|Сергей|Матвеевич|Отделком 465 стр. полка|Прик.РВСР № 373|1919 г.|Орден Красного Знамени
Озерянский|Анатолий|Афанасьевич|Комбриг 134 — 45 стр. дивизии|Прик.РВСР № 37|1921 г.|Орден Красного Знамени
Озолин|Карл|Янович|Помощник машиниста бронепоезда № 4|Прик.РВСР № 97|1923 г.|Орден Красного Знамени
Озолин|Константин|Иванович|Военком 11 кавдивизии|Прик.РВСР № 357|1920 г.|Орден Красного Знамени
Озолин|Рихард|Мартынович|Шоффер 22 авто-броневого отряда|Прик.РВСР № 212|1921 г.|Орден Красного Знамени
Озолин|Яков|Иванович|Комиссар Строевого Управления Морского Штаба Республики|Прик.РВСР № 15|1923 г.|Орден Красного Знамени
Озоль|Ян|Петрович|Красноармеец 501 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Окинский|Василий|Адамович|Красноармеец 1 кавполка 20 стр. дивизии|Прик.РВСР № 85|1923 г.|Орден Красного Знамени
Около-Кулак|Владимир||Комбат 7 Московского стр. полка|Прик.РВСР № 77|1920 г.|Орден Красного Знамени
Околотин|Яков|Васильевич|Командир бронепоезда № 4|Прик.РВСР № 46|1921 г.|Орден Красного Знамени
Окороков|Григорий|Степанович|Комроты 454 полка|Прик.РВСР № 92|1923 г.|Орден Красного Знамени
Окороков|Николай|Аркадьевич|Командир эскадрона отдельн. бат. ВЧК.|Прик.РВСР № 163|1922 г.|Орден Красного Знамени
Окулич|Александр|Константинович|Комбриг 90 — 30 стр. дивизии|Прик.РВСР № 227|1921 г.|Орден Красного Знамени
Окулов|Семен||Курсант 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Окулов|Степан|Акимович|Б. ком 260 стр. полка|Прик.РВСР № 124|1922 г.|Орден Красного Знамени
Окунев|Г.|С.|Стрелок 187 бригады|Прик.РВСР № 93|1921 г.|Орден Красного Знамени
Окунев|Семен||Помкомвзвод 1 Туркестанского стр. полка|Прик.РВСР № 184|1922 г.|Орден Красного Знамени
Окушко|С.|В.|Стрелок 167 стр. бригады|Прик.РВСР № 93|1921 г.|Орден Красного Знамени
Олейничев|Петр|Дмитриевич|Комроты 149 стр. полка|Прик.РВСР № 82|1923 г.|Орден Красного Знамени
Олекорсу|Эдуард|Иванович|Гренадер 3 Эстлянского ком. полка|Прик.РВСР № 373|1919 г.|Орден Красного Знамени
Оленичев|Андрей|Карпович|Красноармеец 561 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Оленников|Епифан|Карпович|Разведчик 30 стр. полка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Оленников|Иван||Красноармеец 19 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Оленников|Никита||Курсант дившколы 2 Приамурской стр. дивизии|Прик.РВСР № 156|1923 г.|Орден Красного Знамени
Олехнович|Казимир|Иванович|Курсант курсов красных коммунаров|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Олехнович|Павел|Михайлович|Военлётчик|Прик.РВСР № 378|1920 г.|Орден Красного Знамени
Олешин|Иван||Курсант 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Олешко|Илья|Васильевич|Красноармеец 4 ОН Покровского кав. эскадрона|Прик.РВСР № 89|1923 г.|Орден Красного Знамени
Олиференко|Петр|Григорьевич|Старшина 3 сводного полка|Прик.РВСР № 271|1921 г.|Орден Красного Знамени
Оловянишников|Александр|Михайлович|Вр. комбат 187 стр. полка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Ольдерогге|Владимир|Александрович|Командарм Восточного фронта|Прик.РВСР № 350|1919 г.|Орден Красного Знамени
Ольский (Куликовский)|Ян|Калликстратович|Председатель ГПУ Белорусской Республики|Прик.РВСР № 54|1923 г.|Орден Красного Знамени
Ольховик|Михаил|Лаврентьевич|Наводчик пулемета 9 кавполка|Прик.РВСР № 325|1921 г.|Орден Красного Знамени
Ольховцев|Павел|Наумович|Комвзвода 373 стр. полка|Прик.РВСР № 272|1920 г.|Орден Красного Знамени
Ольшаков|Феликс|Казимирович|Комполка 17 стрелкового|Прик.РВСР № 66|1922 г.|Орден Красного Знамени
Ольшанский|||Помкомиссара 3 Кубанского каз. полка|Прик.РВСР № 144|1920 г.|Орден Красного Знамени
Ольшанский|Михаил|Михайлович|Начальник 57 стр. дивизии|Прик.РВСР № 551|1920 г.|Орден Красного Знамени
Омаров|||Начальник партизанского отряда|Прик.РВСР № 94|1922 г.|Орден Красного Знамени
Омаров|А.|X.|Красный партизан Дагестана|Прик.РВСР № 76|1923 г.|Орден Красного Знамени
Омельченко|Кирилл|Иванович|Вр.и.д. комэскадрона отдельной кавбригады|Прик.РВСР № 159|1922 г.|Орден Красного Знамени
Ониник|Поликарп|Никитич|Красноармеец Заволжского стр. полка|Прик.РВСР № 111|1922 г.|Орден Красного Знамени
Онисимов|Василий||Помкомбатареи 1 легартдивизиона 7 стр. дивизии|Прик.РВСР № 4|1921 г.|Орден Красного Знамени
Онисчук|Михаил|Яковлевич|Красноармеец 267 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Онищенко|Кондратий|Петрович|Помкомвзвода 5 эскадрона 1 полка Отдельной Заволжской Красногусарской бригады|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Онищенко|Леонтий|Захарьевич|Командир 2 тяж. арт. бат. 58 стр. дивизии|Прик.РВСР № 219|1920 г.|Орден Красного Знамени
Онохов|Семен|Николаевич|Комотделения Заволжского стр. полка|Прик.РВСР № 144|1922 г.|Орден Красного Знамени
Онуфриев|Иван|Андреевич|Комбриг 3 — 2 стр. дивизии|Прик.РВСР № 94|1922 г.|Орден Красного Знамени
Онуфриев|Иван|Андреевич|Комбриг 3 — 29 стр. дивизии|Прик.РВСР № 75|1922 г.|Вторичное награждение
Опман|Вацлав|Максимилианович|Б. начальник артиллерии 18 стр. дивизии|Прик.РВСР № 242|1922 г.|Орден Красного Знамени
Оранов|Степан|Федорович|Командир разведки бронепоезда|Прик.РВСР № 379|1920 г.|Орден Красного Знамени
Орбет|Оскар||Комбат 1 советских пехотных Петроградских командных курсов|Прик.РВСР № 77|1920 г.|Орден Красного Знамени
Органов|Александр||Помощник начальника пулькоманды 514 стр. полка|Прик.РВСР № 57|1921 г.|Орден Красного Знамени
Орджоникидзе|||Член РВС Кавказского фронта|Прик.РВСР № 201|1921 г.|Орден Красного Знамени
Орел|Сидор|Иванович|Красноармеец 561 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Орехов|Вавила||Артиллерист|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
Орехов|П.|А.|Красноармеец 237 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Орждыхин|Михаил||35 дивизия|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Оринин|Константин|Яковлевич|Красногусар 5 эскадрона отдельной Заволжской красногусарской бригады|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Орленко|Василий||Казак 3 черв. казач. полка 8 кавалерийской червоного казачества дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Орленко|Иван|Максимович|Красноармеец 4 ОН Покровского кав. эскадрона|Прик.РВСР № 89|1923 г.|Орден Красного Знамени
Орликевский|Александр|Иванович|Для поручений штаба 4 кавдивизии|Прик.РВСР № 84|1923 г.|Орден Красного Знамени
Орлов|||Разведчик 2 артдивизиона|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Орлов|Александр||Номерной 1 легартдивизиона 7 стр. дивизии|Прик.РВСР № 4|1921 г.|Орден Красного Знамени
Орлов|Александр||Комвзвод 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Орлов|Александр||Курсант В. И. Школы|Прик.РВСР № 271|1921 г.|Орден Красного Знамени
Орлов|Александр|Абрамович|Красноармеец 431 стр. полка|Прик.РВСР № 594|1920 г.|Орден Красного Знамени
Орлов|Александр|Васильевич|Комроты 7 пограничного стр. полка|Прик.РВСР № 355|1919 г.|Орден Красного Знамени
Орлов|Александр|Дмитриевич|Начальник оруд. 3 легартдива 11 стр. дивизии|Прик.РВСР № 59|1921 г.|Орден Красного Знамени
Орлов|Александр|Сергеевич|Красноармеец Кронштадтского отдельного стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Орлов|Алексей||Курсант 7 Борисоглебских кавалерийских курсов|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Орлов|Алексей||Комбатареи 7 — 3 легартдива Латышской стр. дивизии|Прик.РВСР № 208|1920 г.|Орден Красного Знамени
Орлов|Григорий||Пулеметчик бронемашины Гарфорд 53 АБО|Прик.РВСР № 50|1921 г.|Орден Красного Знамени
Орлов|Дмитрий|Фокиевич|Комиссар 1 батальона 502 стр. полка|Прик.РВСР № 572|1920 г.|Орден Красного Знамени
Орлов|Ефим|Федорович|Сотрудник Военной Разведки Ферганской группы|Прик.РВСР № 94|1923 г.|Орден Красного Знамени
Орлов|Игнатий|Матвеевич|Н-к пулеметов 150 стр. полка|Прик.РВСР № 82|1923 г.|Орден Красного Знамени
Орлов|Кузьма||Красноармеец 217 стр. полка 25 стр. дивизии|Прик.РВСР № 194|1919 г.|Орден Красного Знамени
Орлов|Михаил|Андреевич|Машинист бронепоезда № 4|Прик.РВСР № 46|1921 г.|Орден Красного Знамени
Орлов|Сергей|Яковлевич|Старшина 75 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Орлов|Федор|Иванович|Пулеметчик Заволжского стр. полка|Прик.РВСР № 111|1922 г.|Орден Красного Знамени
Орловский|Афанасий|Илларионович|Летчик 15 Авиоотряда|Прик.РВСР № 180|1925 г.|Орден Красного Знамени
Орловский|Виктор|Иванович|Комэскадрона 1 — 60 стр. дивизии|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Орловский|Иван|Илларионович|Начальник команды конразведки 410 стр. полка|Прик.РВСР № 600|1920 г.|Орден Красного Знамени
Оробцов|Тимофей||Красноармеец 19 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Оровец|Франц|Иванович|Вр.и.д. командира бат. 149 стр. полка|Прик.РВСР № 158|1920 г.|Орден Красного Знамени
Ородноп|Тимофей||Красноармеец 4 эскадрона 19 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Орфингер|И.|Г.|Красноармеец 238 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Ос|Ейнс|Фердинандович|Командир взвода Интернациональной Школы|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Осадчий|Александр|Маркович|Начальник 41 стр. дивизии|Прик.РВСР № 134|1920 г.|Орден Красного Знамени
Осадчий|Семен|Иванович|Комэскадрона 363 стр. полка|Прик.РВСР № 19|1922 г.|Орден Красного Знамени
Осетров|Николай||Старшина кавэскадрона 28 стр. бригады|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Осечкин|Василий|Иванович|Комбат 2 стр. полка бригады ЗВО|Прик.РВСР № 50|1923 г.|Орден Красного Знамени
Осике|Митрофан||Отделком 139 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Осин|Фрол|Григорьевич|Пулеметчик бронепоезда № 72|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Осиневский|Евгений||Разведчик 2 батареи 1 гаубичного артиллерийского дивизиона|Прик.РВСР № 68|1920 г.|Орден Красного Знамени
Осинников|Сергей|Антипович|Красноармеец 203 стр. полка|Прик.РВСР № 12|1922 г.|Орден Красного Знамени
Осипенко|||Красноармеец команды конных разведчиков 241 крестьянского полка|Прик.РВСР № 133|1919 г.|Орден Красного Знамени
Осипенко|Яков|Иванович|Разведчик 30 стр. полка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Осипенок|Иван|Прокофьевич|Старшина 150 стр. полка 17 стр. дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Осипов|Александр||Комбат легаргдива 7 дивизии|Прик.РВСР № 428|1920 г.|Орден Красного Знамени
Осипов|Александр|Осипович|Комроты 185 стр. полка|Прик.РВСР № 145|1922 г.|Орден Красного Знамени
Осипов|Афанасий|Осипович|Красноармеец 238 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Осипов|В.|В.|Механик|Прик.РВСР № 476|1925 г.|Орден Красного Знамени
Осипов|Вениамин||Красноармеец 3 сводного полка|Прик.РВСР № 271|1921 г.|Орден Красного Знамени
Осипов|Гавриил||Боец-коммунар отряда коммунаров высшей партшколы Кронштадтского политотдела|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Осипов|Григорий|Васильевич|Курсант 7 стр. дившколы|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Осипов|Дмитрий||Красноармеец 55 полка|Прик.РВСР № 490|1920 г.|Орден Красного Знамени
Осипов|Ефим||Телефонист 8 батареи 3 легартдива 3 стр. дивизиона|Прик.РВСР № 229|1920 г.|Орден Красного Знамени
Осипов|Захар|Захарович|Комвзвода 247 стр. полка 28 стр. дивизии|Прик.РВСР № 85|1923 г.|Орден Красного Знамени
Осипов|Иван||Пулеметчик 183 стр. полка|Прик.РВСР № 256|1920 г.|Орден Красного Знамени
Осипов|Павел|Осипович|Комвзвода 13 стрелков. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Осипов|Яков|Григорьевич|Комроты 458 стр. полка 51 стр. дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Ослопов|Семен|Поликарпович|Красноармеец отдельного кавполка|Прик.РВСР № 19|1922 г.|Орден Красного Знамени
Ослоповский|Иосиф|Андреевич|Красноармеец 253 стр. полка|Прик.РВСР № 175|1919 г.|Орден Красного Знамени
Осокин|Василий|Васильевич|Комвзвода 22 сводно-тяж. гаубичного артиллерийского дивизиона|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Осокин|Иван||Красноармеец легартдива 5 дивизии|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Осокин|Петр||Телефонист 2 лег. арт. дивизиона 2 Приамурской стр. дивизии|Прик.РВСР № 85|1923 г.|Орден Красного Знамени
Оставков|Иван|Павлович|Военком 2 бат. 92 стр. полка|Прик.РВСР № 154|1920 г.|Орден Красного Знамени
Останин|Николай|Михайлович|Артиллерист|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
