Фамилия|Имя|Отчество|Должность|Приказ|Год|РодНаграды
Александрович|Николай|Константинович|Комбригады 29 погр. дивизии.|Прик.РВСР № 26|1922 г.|Орден Красного Знамени
Александровский|Семен|Евгеньевич|Комполка 462 стрелк.|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Александровский|Яков|Аронович|Председатель РВТ 53 погран. дивизии.|Прик.РВСР № 169|1923 г.|Орден Красного Знамени
Алексеев|||Командир взвода I Турк. стр. полка|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Алексеев|Александр|Михайлович|Комвзвод 209 полка|Прик.РВСР № 420|1920 г.|Орден Красного Знамени
Алексеев|Влас||Комвзвода 208 стр. полка|Прик.РВСР № 68|1920 г.|Орден Красного Знамени
Алексеев|Василий|Алексеевич|Красноармеец 1-го Зав. стр. полка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Алексеев|Василий|Осипович|Ком. роты 64 полка|Прик.РВСР № 338|1920 г.|Орден Красного Знамени
Алексеев|Владимир|Иванович|Военкомбат 35 стр. полка|Прик.РВСР № 144|1920 г.|Орден Красного Знамени
Алексеев|Георгий||Курсант 2 полка отд. св. бригады курсантов|Прик.РВСР № 44|1920 г.|Орден Красного Знамени
Алексеев|Григорий||Пулеметчик Ораниенбаум. пулем. курсов|Прик.РВСР № 77|1920 г.|Орден Красного Знамени
Алексеев|Григорий||Красноармеец 163 стр. полка|Прик.РВСР № 261|1920 г.|Орден Красного Знамени
Алексеев|Григорий||Комбат 1 – 213 стр. полка|Прик.РВСР № 210|1920 г.|Орден Красного Знамени
Алексеев|Григорий|Матвеевич|Красноармеец 265 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Алексеев|Игнатий|Иванович|Красноармеец 456 полка|Прик.РВСР № 92|1923 г.|Орден Красного Знамени
Алексеев|Иноккентий|Егорович|Командир роты|Прик.РВСР № 261|1925 г.|Орден Красного Знамени
Алексеев|Константин||Красноармеец 99 полка.|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
